U.S. No 2 Diesel Retail Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emd_epd2d_pte_nus_dpg&f=a
12:20:12 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Year,U.S. No 2 Diesel Retail Prices Dollars per Gallon
2018,3.178
2017,2.65
2016,2.304
2015,2.707
2014,3.825
2013,3.922
2012,3.968
2011,3.84
2010,2.992
2009,2.467
2008,3.803
2007,2.885
2006,2.705
2005,2.402
2004,1.81
2003,1.509
2002,1.319
2001,1.401
2000,1.491
1999,1.121
1998,1.044
1997,1.198
1996,1.235
1995,1.109
